msoa11_cd,msoa11_hclnm,subgroup_code,subgroup_name,all_ages,wk_05,wk_06,wk_07,wk_08,wk_09,wk_10,wk_11,wk_12,wk_13,wk_14,wk_15,wk_16,wk_17,wk_18,wk_19,wk_20,wk_21,wk_22,wk_23,wk_24,wk_25,wk_26,wk_27,wk_28,wk_29,wk_30,wk_31,wk_32,wk_33,wk_34,wk_35,wk_36,wk_37,wk_38,wk_39,wk_40,wk_41,wk_42
E02002483,Clavering,6b2,White Suburban Communities,10261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,10,15,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,13,7,27,26,28,39
E02002484,Headland & West View,8d1,Young Hard-Pressed Families,10449,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,21,10,28,24,11,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,7,14,27,29,37
E02002485,Jesmond,8d1,Young Hard-Pressed Families,8185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,8,9,13,4,7,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,12,26,21,18
E02002487,Harbour & Victoria,8b1,Deprived Blue-Collar Terraces,5277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,8,3,9,16
E02002488,Wooler Road,6b4,Older Workers and Retirement,5848,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,8,6,6,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,10,3,13,11,23,18,20
E02002489,Old Town & Grange,8b1,Deprived Blue-Collar Terraces,7730,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5,8,14,21,17
E02002490,Foggy Furze,8b1,Deprived Blue-Collar Terraces,6214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,NA,5,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,12,15,12
E02002491,Rift House & Summerhill,8d1,Young Hard-Pressed Families,6454,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,9,7,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,5,NA,NA,11,20,19,25
E02002492,Rossmere & Mill,8a2,Industrious Hardship,6887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,8,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,5,6,18,16,36
E02002493,Seaton Carew,6b3,Semi-Detached Ageing,6702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,13,3,9,7,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,4,13,21,23,28
E02002494,Owton Manor,8d1,Young Hard-Pressed Families,7750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,12,5,5,5,NA,5,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,6,10,14,16,22
E02006909,"The Fens, Elwick & Hart",6b3,Semi-Detached Ageing,11906,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,11,6,7,3,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,7,15,20,31,41,54
E02002496,Middlesbrough Central,4b1,Asian Terraces and Flats,13252,NA,NA,NA,NA,NA,NA,NA,NA,4,13,7,10,5,9,3,3,4,5,5,4,NA,NA,NA,NA,NA,NA,3,6,6,4,NA,4,NA,NA,12,14,24,31
E02002497,North Ormesby & Brambles,8d1,Young Hard-Pressed Families,5944,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,6,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,5,10,14,21
E02002498,Ayresome,4b1,Asian Terraces and Flats,9664,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,9,6,NA,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,6,12,20,40
E02002499,Berwick Hills,8d1,Young Hard-Pressed Families,7406,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,18,5,11,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,8,23,16,26
E02002500,Linthorpe East & Albert Park,4a2,Social Renting New Arrivals,5919,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,7,NA,NA,3,NA,NA,6,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,4,NA,NA,15,55,40,29
E02002501,Park Vale,8d2,Hard-Pressed Ethnic Mix,5562,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,8,8,7,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,11,14,13,25
E02002502,Thorntree,8d1,Young Hard-Pressed Families,9221,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,6,8,6,7,5,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,15,17,36
